nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
mybatis/mybatis-3,Java,14453,1042,101,941
dianping/cat,Java,14441,1049,77,972
forezp/SpringCloudLearning,Java,14380,45,34,11
alibaba/Sentinel,Java,14187,1248,233,1015
brettwooldridge/HikariCP,Java,13971,1353,222,1131
signalapp/Signal-Android,Java,13928,7880,729,7151
oracle/graal,Java,13794,2075,585,1490
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Java,13660,381,310,71
JeffLi1993/springboot-learning-example,Java,13620,72,9,63
openzipkin/zipkin,Java,13585,1182,139,1043
lottie-react-native/lottie-react-native,Java,13484,517,90,427
hdodenhof/CircleImageView,Java,13479,343,3,340
lgvalle/Material-Animations,Java,13448,40,13,27
LMAX-Exchange/disruptor,Java,13113,226,13,213
apache/rocketmq,Java,12549,1125,155,970
alibaba/ARouter,Java,12508,733,17,716
orhanobut/logger,Java,12499,183,50,133
Tencent/QMUI_Android,Java,12316,988,318,670
apache/shardingsphere,Java,12286,3763,119,3644
dyc87112/SpringBoot-Learning,Java,12264,35,27,8
greenrobot/greenDAO,Java,12237,931,172,759
Bigkoo/Android-PickerView,Java,12214,870,349,521
facebook/stetho,Java,12091,366,56,310
Curzibn/Luban,Java,12085,350,124,226
daimajia/AndroidSwipeLayout,Java,11898,497,351,146
eclipse/deeplearning4j,Java,11826,5388,961,4427
Konloch/bytecode-viewer,Java,11630,224,59,165
elunez/eladmin,Java,11612,417,12,405
zhihu/Matisse,Java,11586,669,369,300
